bd09mc_X,bd09mc_Y,value,bd09_LNG,bd09_LAT,wgs84_LNG,wgs84_LAT,gcj02_LNG,gcj02_LAT
12581200,3249000,4,113.017612787105,28.161495796286587,113.00545185672225,28.15879519769771,113.01113178002922,28.15547955999046
12594600,3275600,1,113.13798572540227,28.37306221619598,113.12560362871606,28.370208895854198,113.13148017965784,28.36703279163867
12592600,3252400,1,113.12001961520865,28.188561767636532,113.10759411111748,28.18599266742366,113.11347073886125,28.18282340421509
12574600,3254600,2,112.95832462346604,28.20607135454836,112.94633715229732,28.20358633314973,112.95181648079834,28.200103660479034
12578800,3254200,3,112.99605345487265,28.20288800893102,112.98387933456758,28.200569278173532,112.98948237594594,28.197186232011738
12612000,3279400,1,113.2942908840868,28.403251303154033,113.28213529036994,28.400248171573754,113.28788432075447,28.396943146514914
12634800,3236000,1,113.49910454029413,28.057944497716463,113.48693648051425,28.055213165449832,113.49263529653025,28.051902983499176
12620000,3225400,1,113.36615532486131,27.973435670576006,113.35375026496266,27.970780191467224,113.35960469875361,27.967609178847816
12568400,3258600,7,112.9026296818658,28.23789953756188,112.89073413074533,28.23532530635863,112.8961370939167,28.231787864342742
12625200,3257200,7,113.41286721136473,28.226760764290095,113.40051874914406,28.223596915899225,113.40643003061324,28.220435002295176
12574200,3245000,1,112.95473140142731,28.129644619825672,112.94276076604397,28.127095049781072,112.9482245416537,28.123609635723568
12604200,3278000,1,113.22422305433167,28.39213001862006,113.21191169188019,28.38978360448887,113.21764462017471,28.38646879518068
12529600,3260400,5,112.55408714410949,28.252219090804605,112.54226136588409,28.2494337044132,112.5476417923085,28.245947069758635
12597800,3234400,1,113.16673150171208,28.045192743965742,113.15452875362791,28.04207588603709,113.16033199954292,28.038857348439354
12570800,3249800,1,112.92418901409815,28.167864882714593,112.91238065580902,28.165063351455895,112.91779055304724,28.161533013733838
12671000,3269200,1,113.82429113479873,28.32219781275223,113.81225379635605,28.319949680687948,113.81771059160103,28.31653793980094
12547800,3277400,1,112.71757874687147,28.38736339283073,112.70553825534599,28.3847514830559,112.71107532357502,28.381382829810256
12494600,3250000,1,112.23968021572107,28.16945709446675,112.2276489520707,28.1668712776605,112.23318448295683,28.16351748644428
12618600,3218800,1,113.35357904772577,27.920783135504333,113.34118745529038,27.918286446044274,113.34701456509633,27.91510342740612
12571600,3240200,3,112.9313754581756,28.091410577942238,112.91953833505045,28.088598446808405,112.92495155825314,28.08508143257936
12619200,3265000,1,113.35896888078386,28.288804675256813,113.34655151926485,28.28628631683527,113.35241952573706,28.28307930007656
12571600,3241800,2,112.9313754581756,28.10415678882374,112.91952701641392,28.10134354881548,112.9249412257297,28.097825062718353
12579000,3268400,1,112.99785006589201,28.31583803180458,112.98567069969731,28.313495505380743,112.9912895397196,28.310121353765343
12499000,3254800,1,112.27920565814703,28.207662991411926,112.26709951658964,28.205278295133947,112.27263740779821,28.20192755999377
12583400,3253600,7,113.03737550831798,28.198112810792498,113.02520617051995,28.195074810435344,113.03095840218322,28.191813629308562
12576600,3271200,4,112.97629073365965,28.338095583116566,112.96416192284093,28.33581784201373,112.96970611343615,28.332384333439077
12567600,3254600,3,112.89544323778836,28.20607135454836,112.88353707245807,28.203624335758228,112.88893848658662,28.20009006597074
12710800,3275200,2,114.18181672765185,28.369883912322482,114.16983594860761,28.367450834711214,114.17521967790422,28.364212588524804
12665400,3271600,1,113.77398602625658,28.34127484879056,113.76198220051245,28.338297305737377,113.76755066576531,28.334955964186218
12526000,3250400,1,112.52174814576097,28.172641446139163,112.50974232493779,28.170283155377135,112.51520827848618,28.166881787738067
12567200,3246400,2,112.89185001574963,28.140793620389566,112.87992678414996,28.138402334010944,112.88532444300303,28.13487395939244
12566000,3254800,6,112.88107034963345,28.207662991411926,112.86909716078354,28.205429892410024,112.8745075066047,28.201907338442
12575200,3239800,1,112.96371445652412,28.08822378619555,112.95169604266806,28.085809887206242,112.95718112905719,28.082348211029366
12651600,3244200,1,113.65001986592057,28.12327323606024,113.63812328140645,28.1204169682091,113.64358476502458,28.116933619794306
12615000,3255600,2,113.32124004937725,28.21402929921183,113.308928007337,28.211389391638654,113.31471134057263,28.20811083409111
12623000,3253600,1,113.39310449015174,28.198112810792498,113.38077136398945,28.19502106334428,113.38667689126747,28.191854883133747
12516600,3242400,1,112.43730742785093,28.10893622344832,112.42516741083028,28.10581756802149,112.43086406641412,28.102632730914127
12626000,3261600,3,113.42005365544217,28.2617643801731,113.4077031577853,28.258669146332878,113.41361368901259,28.25550521737052
12576800,3255000,2,112.97808734467903,28.209254604310924,112.96596765204305,28.206995116388196,112.97150752020569,28.20356034622503
12537600,3262000,1,112.62595158488398,28.264945951352647,112.61402578257768,28.26281482682445,112.61936577242554,28.25928340179151
12583000,3250000,2,113.03378228627926,28.16945709446675,113.02162905242578,28.16646447629547,113.0273670049079,28.163195007755444
12589000,3253800,2,113.08768061686013,28.199704567465844,113.07527242173178,28.197064842776904,113.08114016328237,28.19389358120521
12581600,3266800,1,113.02120600914373,28.303117316838293,113.00904014665922,28.300343772481686,113.01474478526048,28.29703914142603
12595400,3258800,1,113.14517216947972,28.239490694969113,113.132834393063,28.236534432210824,113.13869023985448,28.233337055097348
12593600,3234000,1,113.12900267030547,28.042004566756003,113.11662657987613,28.039299894033284,113.12248492389199,28.036137969421013
12542000,3273400,1,112.66547702730996,28.355580354379555,112.65357678774666,28.35288816478198,112.6589961566836,28.349422398921714
12578800,3257000,1,112.99605345487265,28.22516941505866,112.98385803564454,28.222846280799388,112.9894628027185,28.219462764935955
12643600,3236400,2,113.57815542514608,28.06113219734698,113.5661390429788,28.058947149026736,113.57159788544101,28.055445529321045
12576400,3247800,2,112.9744941226403,28.151941448482354,112.962408326049,28.149658473366785,112.96793176634192,28.146217046227754
12580000,3235400,2,113.00683312098882,28.05316276915434,112.99468040185754,28.050668663698254,113.0003115246659,28.047331888227646
12583600,3248200,2,113.03917211933735,28.155126326829432,113.02700479740056,28.152068232699538,113.0327593510704,28.148814106848448
12579800,3252400,2,113.00503650996946,28.188561767636532,112.99286878327976,28.186112365927446,112.99850411192935,28.182757072608208
12589200,3255200,1,113.0894772278795,28.21084619324449,113.07704859627567,28.20822843398863,113.08291918506984,28.205058159935483
12561000,3250200,1,112.83615507414939,28.17104928227523,112.82420055576753,28.168497033568634,112.82967535633793,28.16504785142657
12650600,3242400,1,113.64103681082376,28.10893622344832,113.62915010838516,28.10609999937883,113.63459959109065,28.102604695414545
12586800,3247000,5,113.06791789564714,28.14557140458611,113.05562280123142,28.142615731750446,113.06145413046758,28.139423958840933
12680000,3276600,1,113.90513863067004,28.381007554911303,113.8934010873981,28.378327575751825,113.89868131991719,28.374814815839247
12682400,3281600,2,113.92669796290238,28.420725224299133,113.91489764298868,28.418400928495025,113.92017339233064,28.414903856064495
12650200,3251400,1,113.63744358878503,28.180601906260048,113.62558610149864,28.177809055869087,113.63103763736105,28.174303300982874
12567200,3254800,6,112.89185001574963,28.207662991411926,112.87992501887172,28.205276313634823,112.8853279322159,28.20174421109942
12581200,3255800,1,113.017612787105,28.215620816243877,113.00542410655588,28.212916768557484,113.0111083484858,28.209598735394813
12563800,3257600,3,112.86130762842046,28.229943390827138,112.84927114208509,28.227760770291052,112.85470763117662,28.22426490916169
12566800,3253400,2,112.8882567937109,28.1965210301598,112.87632668204664,28.19419406753094,112.88173065426726,28.190665005442888
